[2023-07-09T08:37:49.754+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_dag.extract_data manual__2023-07-09T08:37:45.545261+00:00 [queued]>
[2023-07-09T08:37:49.770+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_dag.extract_data manual__2023-07-09T08:37:45.545261+00:00 [queued]>
[2023-07-09T08:37:49.770+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 1
[2023-07-09T08:37:49.798+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): extract_data> on 2023-07-09 08:37:45.545261+00:00
[2023-07-09T08:37:49.807+0000] {standard_task_runner.py:57} INFO - Started process 2751 to run task
[2023-07-09T08:37:49.810+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'etl_dag', 'extract_data', 'manual__2023-07-09T08:37:45.545261+00:00', '--job-id', '107', '--raw', '--subdir', 'DAGS_FOLDER/test.py', '--cfg-path', '/tmp/tmpyxeqg7lg']
[2023-07-09T08:37:49.811+0000] {standard_task_runner.py:85} INFO - Job 107: Subtask extract_data
[2023-07-09T08:37:49.865+0000] {task_command.py:410} INFO - Running <TaskInstance: etl_dag.extract_data manual__2023-07-09T08:37:45.545261+00:00 [running]> on host 5865fe7b5e5b
[2023-07-09T08:37:49.974+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_dag' AIRFLOW_CTX_TASK_ID='extract_data' AIRFLOW_CTX_EXECUTION_DATE='2023-07-09T08:37:45.545261+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-07-09T08:37:45.545261+00:00'
[2023-07-09T08:37:49.985+0000] {base.py:73} INFO - Using connection ID 'testsql' for task execution.
[2023-07-09T08:37:50.001+0000] {logging_mixin.py:149} INFO - ================================
[2023-07-09T08:37:50.003+0000] {logging_mixin.py:149} INFO - 0     
1     
2     
3     
4     
5     
6     
7     
8     
9     
10    
11    
12    
13    
14    
15    
16    
17    
18    
Name: Response, dtype: object
[2023-07-09T08:37:50.003+0000] {logging_mixin.py:149} INFO - ================================
[2023-07-09T08:37:50.004+0000] {logging_mixin.py:149} INFO - Element at index 0, column YearStart: 2014
[2023-07-09T08:37:50.005+0000] {logging_mixin.py:149} INFO - Element at index 0, column YearEnd: 2014
[2023-07-09T08:37:50.005+0000] {logging_mixin.py:149} INFO - Element at index 0, column LocationAbbr: AR
[2023-07-09T08:37:50.006+0000] {logging_mixin.py:149} INFO - Element at index 0, column LocationDesc: Arkansas
[2023-07-09T08:37:50.006+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataSource: SEDD; SID
[2023-07-09T08:37:50.006+0000] {logging_mixin.py:149} INFO - Element at index 0, column Topic: Asthma
[2023-07-09T08:37:50.007+0000] {logging_mixin.py:149} INFO - Element at index 0, column Question: Hospitalizations for asthma
[2023-07-09T08:37:50.007+0000] {logging_mixin.py:149} INFO - Element at index 0, column Response: 
[2023-07-09T08:37:50.008+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueUnit: 
[2023-07-09T08:37:50.008+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueType: Number
[2023-07-09T08:37:50.008+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValue: 916.0
[2023-07-09T08:37:50.009+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueAlt: 916.0
[2023-07-09T08:37:50.010+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueFootnoteSymbol: 
[2023-07-09T08:37:50.011+0000] {logging_mixin.py:149} INFO - Element at index 0, column DatavalueFootnote: 
[2023-07-09T08:37:50.011+0000] {logging_mixin.py:149} INFO - Element at index 0, column LowConfidenceLimit: 
[2023-07-09T08:37:50.011+0000] {logging_mixin.py:149} INFO - Element at index 0, column HighConfidenceLimit: 
[2023-07-09T08:37:50.012+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategory1: Gender
[2023-07-09T08:37:50.012+0000] {logging_mixin.py:149} INFO - Element at index 0, column Stratification1: M***
[2023-07-09T08:37:50.013+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategory2: 
[2023-07-09T08:37:50.013+0000] {logging_mixin.py:149} INFO - Element at index 0, column Stratification2: 
[2023-07-09T08:37:50.014+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategory3: 
[2023-07-09T08:37:50.014+0000] {logging_mixin.py:149} INFO - Element at index 0, column Stratification3: 
[2023-07-09T08:37:50.015+0000] {logging_mixin.py:149} INFO - Element at index 0, column GeoLocation: POINT (-92.27449074299966 34.74865012400045)
