[2023-07-09T08:41:09.263+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_dag.extract_data manual__2023-07-09T08:41:06.295678+00:00 [queued]>
[2023-07-09T08:41:09.276+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_dag.extract_data manual__2023-07-09T08:41:06.295678+00:00 [queued]>
[2023-07-09T08:41:09.277+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 1
[2023-07-09T08:41:09.295+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): extract_data> on 2023-07-09 08:41:06.295678+00:00
[2023-07-09T08:41:09.303+0000] {standard_task_runner.py:57} INFO - Started process 2842 to run task
[2023-07-09T08:41:09.307+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'etl_dag', 'extract_data', 'manual__2023-07-09T08:41:06.295678+00:00', '--job-id', '111', '--raw', '--subdir', 'DAGS_FOLDER/test.py', '--cfg-path', '/tmp/tmp7ae2k6gt']
[2023-07-09T08:41:09.307+0000] {standard_task_runner.py:85} INFO - Job 111: Subtask extract_data
[2023-07-09T08:41:09.364+0000] {task_command.py:410} INFO - Running <TaskInstance: etl_dag.extract_data manual__2023-07-09T08:41:06.295678+00:00 [running]> on host 5865fe7b5e5b
[2023-07-09T08:41:09.531+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_dag' AIRFLOW_CTX_TASK_ID='extract_data' AIRFLOW_CTX_EXECUTION_DATE='2023-07-09T08:41:06.295678+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-07-09T08:41:06.295678+00:00'
[2023-07-09T08:41:09.547+0000] {base.py:73} INFO - Using connection ID 'testsql' for task execution.
[2023-07-09T08:41:09.575+0000] {logging_mixin.py:149} INFO - ================================
[2023-07-09T08:41:09.577+0000] {logging_mixin.py:149} INFO - 0     
1     
2     
3     
4     
5     
6     
7     
8     
9     
10    
11    
12    
13    
14    
15    
16    
17    
18    
Name: Response, dtype: object
[2023-07-09T08:41:09.578+0000] {logging_mixin.py:149} INFO - ================================
[2023-07-09T08:41:09.579+0000] {logging_mixin.py:149} INFO - Element at index 0, column YearStart: 2014
[2023-07-09T08:41:09.580+0000] {logging_mixin.py:149} INFO - Element at index 0, column YearEnd: 2014
[2023-07-09T08:41:09.581+0000] {logging_mixin.py:149} INFO - Element at index 0, column LocationAbbr: AR
[2023-07-09T08:41:09.581+0000] {logging_mixin.py:149} INFO - Element at index 0, column LocationDesc: Arkansas
[2023-07-09T08:41:09.582+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataSource: SEDD; SID
[2023-07-09T08:41:09.583+0000] {logging_mixin.py:149} INFO - Element at index 0, column Topic: Asthma
[2023-07-09T08:41:09.584+0000] {logging_mixin.py:149} INFO - Element at index 0, column Question: Hospitalizations for asthma
[2023-07-09T08:41:09.585+0000] {logging_mixin.py:149} INFO - Element at index 0, column Response: 
[2023-07-09T08:41:09.585+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueUnit: 
[2023-07-09T08:41:09.586+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueType: Number
[2023-07-09T08:41:09.586+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValue: 916.0
[2023-07-09T08:41:09.587+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueAlt: 916.0
[2023-07-09T08:41:09.588+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueFootnoteSymbol: 
[2023-07-09T08:41:09.588+0000] {logging_mixin.py:149} INFO - Element at index 0, column DatavalueFootnote: 
[2023-07-09T08:41:09.589+0000] {logging_mixin.py:149} INFO - Element at index 0, column LowConfidenceLimit: 
[2023-07-09T08:41:09.589+0000] {logging_mixin.py:149} INFO - Element at index 0, column HighConfidenceLimit: 
[2023-07-09T08:41:09.590+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategory1: Gender
[2023-07-09T08:41:09.591+0000] {logging_mixin.py:149} INFO - Element at index 0, column Stratification1: M***
[2023-07-09T08:41:09.592+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategory2: 
