[2023-07-09T08:42:38.260+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_dag.extract_data manual__2023-07-09T08:42:35.257664+00:00 [queued]>
[2023-07-09T08:42:38.274+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_dag.extract_data manual__2023-07-09T08:42:35.257664+00:00 [queued]>
[2023-07-09T08:42:38.274+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 1
[2023-07-09T08:42:38.298+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): extract_data> on 2023-07-09 08:42:35.257664+00:00
[2023-07-09T08:42:38.305+0000] {standard_task_runner.py:57} INFO - Started process 2892 to run task
[2023-07-09T08:42:38.308+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'etl_dag', 'extract_data', 'manual__2023-07-09T08:42:35.257664+00:00', '--job-id', '115', '--raw', '--subdir', 'DAGS_FOLDER/test.py', '--cfg-path', '/tmp/tmpikljthhx']
[2023-07-09T08:42:38.309+0000] {standard_task_runner.py:85} INFO - Job 115: Subtask extract_data
[2023-07-09T08:42:38.374+0000] {task_command.py:410} INFO - Running <TaskInstance: etl_dag.extract_data manual__2023-07-09T08:42:35.257664+00:00 [running]> on host 5865fe7b5e5b
[2023-07-09T08:42:38.491+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_dag' AIRFLOW_CTX_TASK_ID='extract_data' AIRFLOW_CTX_EXECUTION_DATE='2023-07-09T08:42:35.257664+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-07-09T08:42:35.257664+00:00'
[2023-07-09T08:42:38.504+0000] {base.py:73} INFO - Using connection ID 'testsql' for task execution.
[2023-07-09T08:42:38.526+0000] {logging_mixin.py:149} INFO - ================================
[2023-07-09T08:42:38.528+0000] {logging_mixin.py:149} INFO - 0     
1     
2     
3     
4     
5     
6     
7     
8     
9     
10    
11    
12    
13    
14    
15    
16    
17    
18    
Name: Response, dtype: object
[2023-07-09T08:42:38.529+0000] {logging_mixin.py:149} INFO - ================================
[2023-07-09T08:42:38.530+0000] {logging_mixin.py:149} INFO - Element at index 0, column YearStart: 2014
[2023-07-09T08:42:38.531+0000] {logging_mixin.py:149} INFO - Element at index 0, column YearEnd: 2014
[2023-07-09T08:42:38.531+0000] {logging_mixin.py:149} INFO - Element at index 0, column LocationAbbr: AR
[2023-07-09T08:42:38.532+0000] {logging_mixin.py:149} INFO - Element at index 0, column LocationDesc: Arkansas
[2023-07-09T08:42:38.532+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataSource: SEDD; SID
[2023-07-09T08:42:38.533+0000] {logging_mixin.py:149} INFO - Element at index 0, column Topic: Asthma
[2023-07-09T08:42:38.533+0000] {logging_mixin.py:149} INFO - Element at index 0, column Question: Hospitalizations for asthma
[2023-07-09T08:42:38.534+0000] {logging_mixin.py:149} INFO - Element at index 0, column Response: 
[2023-07-09T08:42:38.535+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueUnit: 
[2023-07-09T08:42:38.535+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueType: Number
[2023-07-09T08:42:38.536+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValue: 916.0
[2023-07-09T08:42:38.536+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueAlt: 916.0
[2023-07-09T08:42:38.537+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueFootnoteSymbol: 
[2023-07-09T08:42:38.537+0000] {logging_mixin.py:149} INFO - Element at index 0, column DatavalueFootnote: 
[2023-07-09T08:42:38.538+0000] {logging_mixin.py:149} INFO - Element at index 0, column LowConfidenceLimit: 
[2023-07-09T08:42:38.539+0000] {logging_mixin.py:149} INFO - Element at index 0, column HighConfidenceLimit: 
[2023-07-09T08:42:38.539+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategory1: Gender
[2023-07-09T08:42:38.540+0000] {logging_mixin.py:149} INFO - Element at index 0, column Stratification1: M***
[2023-07-09T08:42:38.541+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategory2: 
[2023-07-09T08:42:38.542+0000] {logging_mixin.py:149} INFO - Element at index 0, column Stratification2: 
[2023-07-09T08:42:38.543+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategory3: 
[2023-07-09T08:42:38.543+0000] {logging_mixin.py:149} INFO - Element at index 0, column Stratification3: 
[2023-07-09T08:42:38.544+0000] {logging_mixin.py:149} INFO - Element at index 0, column GeoLocation: POINT (-92.27449074299966 34.74865012400045)
[2023-07-09T08:42:38.545+0000] {logging_mixin.py:149} INFO - Element at index 0, column ResponseID: 
[2023-07-09T08:42:38.546+0000] {logging_mixin.py:149} INFO - Element at index 0, column LocationID: 5
[2023-07-09T08:42:38.547+0000] {logging_mixin.py:149} INFO - Element at index 0, column TopicID: AST
[2023-07-09T08:42:38.548+0000] {logging_mixin.py:149} INFO - Element at index 0, column QuestionID: AST3_1
[2023-07-09T08:42:38.548+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueTypeID: NMBR
[2023-07-09T08:42:38.549+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategoryID1: GENDER
[2023-07-09T08:42:38.550+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationID1: GENM
[2023-07-09T08:42:38.550+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategoryID2: 
[2023-07-09T08:42:38.551+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationID2: 
[2023-07-09T08:42:38.551+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategoryID3: 
[2023-07-09T08:42:38.552+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationID3: 
[2023-07-09T08:42:38.553+0000] {logging_mixin.py:149} INFO - Element at index 1, column YearStart: 2018
[2023-07-09T08:42:38.553+0000] {logging_mixin.py:149} INFO - Element at index 1, column YearEnd: 2018
[2023-07-09T08:42:38.554+0000] {logging_mixin.py:149} INFO - Element at index 1, column LocationAbbr: CO
[2023-07-09T08:42:38.555+0000] {logging_mixin.py:149} INFO - Element at index 1, column LocationDesc: Colorado
[2023-07-09T08:42:38.556+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataSource: SEDD; SID
[2023-07-09T08:42:38.556+0000] {logging_mixin.py:149} INFO - Element at index 1, column Topic: Asthma
[2023-07-09T08:42:38.557+0000] {logging_mixin.py:149} INFO - Element at index 1, column Question: Hospitalizations for asthma
[2023-07-09T08:42:38.558+0000] {logging_mixin.py:149} INFO - Element at index 1, column Response: 
[2023-07-09T08:42:38.558+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValueUnit: 
[2023-07-09T08:42:38.559+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValueType: Number
[2023-07-09T08:42:38.560+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValue: 2227.0
[2023-07-09T08:42:38.560+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValueAlt: 2227.0
[2023-07-09T08:42:38.561+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValueFootnoteSymbol: 
[2023-07-09T08:42:38.561+0000] {logging_mixin.py:149} INFO - Element at index 1, column DatavalueFootnote: 
[2023-07-09T08:42:38.562+0000] {logging_mixin.py:149} INFO - Element at index 1, column LowConfidenceLimit: 
[2023-07-09T08:42:38.563+0000] {logging_mixin.py:149} INFO - Element at index 1, column HighConfidenceLimit: 
[2023-07-09T08:42:38.563+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategory1: Overall
[2023-07-09T08:42:38.564+0000] {logging_mixin.py:149} INFO - Element at index 1, column Stratification1: Overall
[2023-07-09T08:42:38.564+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategory2: 
[2023-07-09T08:42:38.565+0000] {logging_mixin.py:149} INFO - Element at index 1, column Stratification2: 
[2023-07-09T08:42:38.565+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategory3: 
[2023-07-09T08:42:38.566+0000] {logging_mixin.py:149} INFO - Element at index 1, column Stratification3: 
[2023-07-09T08:42:38.566+0000] {logging_mixin.py:149} INFO - Element at index 1, column GeoLocation: POINT (-106.13361092099967 38.843840757000464)
[2023-07-09T08:42:38.567+0000] {logging_mixin.py:149} INFO - Element at index 1, column ResponseID: 
[2023-07-09T08:42:38.567+0000] {logging_mixin.py:149} INFO - Element at index 1, column LocationID: 8
[2023-07-09T08:42:38.568+0000] {logging_mixin.py:149} INFO - Element at index 1, column TopicID: AST
[2023-07-09T08:42:38.568+0000] {logging_mixin.py:149} INFO - Element at index 1, column QuestionID: AST3_1
[2023-07-09T08:42:38.569+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValueTypeID: NMBR
[2023-07-09T08:42:38.569+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategoryID1: OVERALL
[2023-07-09T08:42:38.569+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationID1: OVR
[2023-07-09T08:42:38.570+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategoryID2: 
[2023-07-09T08:42:38.570+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationID2: 
[2023-07-09T08:42:38.571+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategoryID3: 
[2023-07-09T08:42:38.571+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationID3: 
[2023-07-09T08:42:38.572+0000] {logging_mixin.py:149} INFO - Element at index 2, column YearStart: 2018
[2023-07-09T08:42:38.572+0000] {logging_mixin.py:149} INFO - Element at index 2, column YearEnd: 2018
[2023-07-09T08:42:38.572+0000] {logging_mixin.py:149} INFO - Element at index 2, column LocationAbbr: DC
[2023-07-09T08:42:38.573+0000] {logging_mixin.py:149} INFO - Element at index 2, column LocationDesc: District of Columbia
[2023-07-09T08:42:38.573+0000] {logging_mixin.py:149} INFO - Element at index 2, column DataSource: SEDD; SID
[2023-07-09T08:42:38.574+0000] {logging_mixin.py:149} INFO - Element at index 2, column Topic: Asthma
[2023-07-09T08:42:38.575+0000] {logging_mixin.py:149} INFO - Element at index 2, column Question: Hospitalizations for asthma
[2023-07-09T08:42:38.575+0000] {logging_mixin.py:149} INFO - Element at index 2, column Response: 
[2023-07-09T08:42:38.576+0000] {logging_mixin.py:149} INFO - Element at index 2, column DataValueUnit: 
[2023-07-09T08:42:38.576+0000] {logging_mixin.py:149} INFO - Element at index 2, column DataValueType: Number
[2023-07-09T08:42:38.576+0000] {logging_mixin.py:149} INFO - Element at index 2, column DataValue: 708.0
[2023-07-09T08:42:38.577+0000] {logging_mixin.py:149} INFO - Element at index 2, column DataValueAlt: 708.0
[2023-07-09T08:42:38.577+0000] {logging_mixin.py:149} INFO - Element at index 2, column DataValueFootnoteSymbol: 
[2023-07-09T08:42:38.577+0000] {logging_mixin.py:149} INFO - Element at index 2, column DatavalueFootnote: 
