[2023-07-09T08:43:51.763+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_dag.extract_data manual__2023-07-09T08:43:47.989908+00:00 [queued]>
[2023-07-09T08:43:51.786+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_dag.extract_data manual__2023-07-09T08:43:47.989908+00:00 [queued]>
[2023-07-09T08:43:51.787+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 1
[2023-07-09T08:43:51.828+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): extract_data> on 2023-07-09 08:43:47.989908+00:00
[2023-07-09T08:43:51.840+0000] {standard_task_runner.py:57} INFO - Started process 2940 to run task
[2023-07-09T08:43:51.851+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'etl_dag', 'extract_data', 'manual__2023-07-09T08:43:47.989908+00:00', '--job-id', '119', '--raw', '--subdir', 'DAGS_FOLDER/test.py', '--cfg-path', '/tmp/tmpgyg1bscm']
[2023-07-09T08:43:51.880+0000] {standard_task_runner.py:85} INFO - Job 119: Subtask extract_data
[2023-07-09T08:43:52.107+0000] {task_command.py:410} INFO - Running <TaskInstance: etl_dag.extract_data manual__2023-07-09T08:43:47.989908+00:00 [running]> on host 5865fe7b5e5b
[2023-07-09T08:43:52.366+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_dag' AIRFLOW_CTX_TASK_ID='extract_data' AIRFLOW_CTX_EXECUTION_DATE='2023-07-09T08:43:47.989908+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-07-09T08:43:47.989908+00:00'
[2023-07-09T08:43:52.384+0000] {base.py:73} INFO - Using connection ID 'testsql' for task execution.
[2023-07-09T08:43:52.410+0000] {logging_mixin.py:149} INFO - ================================
[2023-07-09T08:43:52.412+0000] {logging_mixin.py:149} INFO - 0     
1     
2     
3     
4     
5     
6     
7     
8     
9     
10    
11    
12    
13    
14    
15    
16    
17    
18    
Name: Response, dtype: object
[2023-07-09T08:43:52.413+0000] {logging_mixin.py:149} INFO - ================================
[2023-07-09T08:43:52.414+0000] {logging_mixin.py:149} INFO - Element at index 0, column YearStart: 2014
[2023-07-09T08:43:52.414+0000] {logging_mixin.py:149} INFO - Element at index 0, column YearEnd: 2014
[2023-07-09T08:43:52.415+0000] {logging_mixin.py:149} INFO - Element at index 0, column LocationAbbr: AR
[2023-07-09T08:43:52.415+0000] {logging_mixin.py:149} INFO - Element at index 0, column LocationDesc: Arkansas
[2023-07-09T08:43:52.416+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataSource: SEDD; SID
[2023-07-09T08:43:52.418+0000] {logging_mixin.py:149} INFO - Element at index 0, column Topic: Asthma
[2023-07-09T08:43:52.418+0000] {logging_mixin.py:149} INFO - Element at index 0, column Question: Hospitalizations for asthma
[2023-07-09T08:43:52.419+0000] {logging_mixin.py:149} INFO - Element at index 0, column Response: 
[2023-07-09T08:43:52.420+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueUnit: 
[2023-07-09T08:43:52.420+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueType: Number
[2023-07-09T08:43:52.421+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValue: 916.0
[2023-07-09T08:43:52.421+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueAlt: 916.0
[2023-07-09T08:43:52.422+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueFootnoteSymbol: 
[2023-07-09T08:43:52.422+0000] {logging_mixin.py:149} INFO - Element at index 0, column DatavalueFootnote: 
[2023-07-09T08:43:52.422+0000] {logging_mixin.py:149} INFO - Element at index 0, column LowConfidenceLimit: 
[2023-07-09T08:43:52.424+0000] {logging_mixin.py:149} INFO - Element at index 0, column HighConfidenceLimit: 
[2023-07-09T08:43:52.425+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategory1: Gender
[2023-07-09T08:43:52.425+0000] {logging_mixin.py:149} INFO - Element at index 0, column Stratification1: M***
[2023-07-09T08:43:52.426+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategory2: 
[2023-07-09T08:43:52.427+0000] {logging_mixin.py:149} INFO - Element at index 0, column Stratification2: 
[2023-07-09T08:43:52.427+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategory3: 
[2023-07-09T08:43:52.428+0000] {logging_mixin.py:149} INFO - Element at index 0, column Stratification3: 
[2023-07-09T08:43:52.428+0000] {logging_mixin.py:149} INFO - Element at index 0, column GeoLocation: POINT (-92.27449074299966 34.74865012400045)
[2023-07-09T08:43:52.429+0000] {logging_mixin.py:149} INFO - Element at index 0, column ResponseID: 
[2023-07-09T08:43:52.430+0000] {logging_mixin.py:149} INFO - Element at index 0, column LocationID: 5
[2023-07-09T08:43:52.432+0000] {logging_mixin.py:149} INFO - Element at index 0, column TopicID: AST
[2023-07-09T08:43:52.432+0000] {logging_mixin.py:149} INFO - Element at index 0, column QuestionID: AST3_1
[2023-07-09T08:43:52.433+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueTypeID: NMBR
[2023-07-09T08:43:52.433+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategoryID1: GENDER
[2023-07-09T08:43:52.434+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationID1: GENM
[2023-07-09T08:43:52.435+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategoryID2: 
[2023-07-09T08:43:52.435+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationID2: 
[2023-07-09T08:43:52.436+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategoryID3: 
[2023-07-09T08:43:52.436+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationID3: 
[2023-07-09T08:43:52.438+0000] {logging_mixin.py:149} INFO - Element at index 1, column YearStart: 2018
[2023-07-09T08:43:52.439+0000] {logging_mixin.py:149} INFO - Element at index 1, column YearEnd: 2018
[2023-07-09T08:43:52.440+0000] {logging_mixin.py:149} INFO - Element at index 1, column LocationAbbr: CO
[2023-07-09T08:43:52.440+0000] {logging_mixin.py:149} INFO - Element at index 1, column LocationDesc: Colorado
[2023-07-09T08:43:52.441+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataSource: SEDD; SID
[2023-07-09T08:43:52.441+0000] {logging_mixin.py:149} INFO - Element at index 1, column Topic: Asthma
[2023-07-09T08:43:52.442+0000] {logging_mixin.py:149} INFO - Element at index 1, column Question: Hospitalizations for asthma
[2023-07-09T08:43:52.442+0000] {logging_mixin.py:149} INFO - Element at index 1, column Response: 
[2023-07-09T08:43:52.443+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValueUnit: 
[2023-07-09T08:43:52.443+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValueType: Number
[2023-07-09T08:43:52.445+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValue: 2227.0
[2023-07-09T08:43:52.446+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValueAlt: 2227.0
[2023-07-09T08:43:52.446+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValueFootnoteSymbol: 
[2023-07-09T08:43:52.447+0000] {logging_mixin.py:149} INFO - Element at index 1, column DatavalueFootnote: 
[2023-07-09T08:43:52.447+0000] {logging_mixin.py:149} INFO - Element at index 1, column LowConfidenceLimit: 
[2023-07-09T08:43:52.448+0000] {logging_mixin.py:149} INFO - Element at index 1, column HighConfidenceLimit: 
[2023-07-09T08:43:52.448+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategory1: Overall
[2023-07-09T08:43:52.449+0000] {logging_mixin.py:149} INFO - Element at index 1, column Stratification1: Overall
[2023-07-09T08:43:52.449+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategory2: 
[2023-07-09T08:43:52.450+0000] {logging_mixin.py:149} INFO - Element at index 1, column Stratification2: 
[2023-07-09T08:43:52.450+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategory3: 
[2023-07-09T08:43:52.453+0000] {logging_mixin.py:149} INFO - Element at index 1, column Stratification3: 
[2023-07-09T08:43:52.453+0000] {logging_mixin.py:149} INFO - Element at index 1, column GeoLocation: POINT (-106.13361092099967 38.843840757000464)
[2023-07-09T08:43:52.454+0000] {logging_mixin.py:149} INFO - Element at index 1, column ResponseID: 
[2023-07-09T08:43:52.454+0000] {logging_mixin.py:149} INFO - Element at index 1, column LocationID: 8
[2023-07-09T08:43:52.455+0000] {logging_mixin.py:149} INFO - Element at index 1, column TopicID: AST
[2023-07-09T08:43:52.456+0000] {logging_mixin.py:149} INFO - Element at index 1, column QuestionID: AST3_1
[2023-07-09T08:43:52.457+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValueTypeID: NMBR
[2023-07-09T08:43:52.458+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategoryID1: OVERALL
[2023-07-09T08:43:52.460+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationID1: OVR
[2023-07-09T08:43:52.460+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategoryID2: 
[2023-07-09T08:43:52.461+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationID2: 
[2023-07-09T08:43:52.462+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategoryID3: 
[2023-07-09T08:43:52.462+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationID3: 
[2023-07-09T08:43:52.463+0000] {logging_mixin.py:149} INFO - Element at index 2, column YearStart: 2018
[2023-07-09T08:43:52.464+0000] {logging_mixin.py:149} INFO - Element at index 2, column YearEnd: 2018
