[2023-07-09T08:51:37.705+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_dag.apply_pca manual__2023-07-09T08:51:25.990801+00:00 [queued]>
[2023-07-09T08:51:37.719+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_dag.apply_pca manual__2023-07-09T08:51:25.990801+00:00 [queued]>
[2023-07-09T08:51:37.720+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 1
[2023-07-09T08:51:37.737+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): apply_pca> on 2023-07-09 08:51:25.990801+00:00
[2023-07-09T08:51:37.744+0000] {standard_task_runner.py:57} INFO - Started process 3155 to run task
[2023-07-09T08:51:37.747+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'etl_dag', 'apply_pca', 'manual__2023-07-09T08:51:25.990801+00:00', '--job-id', '130', '--raw', '--subdir', 'DAGS_FOLDER/test.py', '--cfg-path', '/tmp/tmp__7z41rq']
[2023-07-09T08:51:37.748+0000] {standard_task_runner.py:85} INFO - Job 130: Subtask apply_pca
[2023-07-09T08:51:37.798+0000] {task_command.py:410} INFO - Running <TaskInstance: etl_dag.apply_pca manual__2023-07-09T08:51:25.990801+00:00 [running]> on host 5865fe7b5e5b
[2023-07-09T08:51:38.049+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_dag' AIRFLOW_CTX_TASK_ID='apply_pca' AIRFLOW_CTX_EXECUTION_DATE='2023-07-09T08:51:25.990801+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-07-09T08:51:25.990801+00:00'
[2023-07-09T08:51:38.074+0000] {warnings.py:110} WARNING - /opt/***/dags/test.py:73: FutureWarning: Dropping of nuisance columns in DataFrame reductions (with 'numeric_only=None') is deprecated; in a future version this will raise TypeError.  Select only valid columns before calling the reduction.
  df.fillna(df.mean(), inplace=True)

[2023-07-09T08:51:38.084+0000] {warnings.py:110} WARNING - /opt/***/dags/test.py:76: FutureWarning: Dropping of nuisance columns in DataFrame reductions (with 'numeric_only=None') is deprecated; in a future version this will raise TypeError.  Select only valid columns before calling the reduction.
  df.fillna(df.median(), inplace=True)

[2023-07-09T08:51:38.105+0000] {logging_mixin.py:149} INFO - Element at index 0, column LocationAbbr: AR
[2023-07-09T08:51:38.106+0000] {logging_mixin.py:149} INFO - Element at index 0, column LocationDesc: Arkansas
[2023-07-09T08:51:38.106+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataSource: SEDD; SID
[2023-07-09T08:51:38.107+0000] {logging_mixin.py:149} INFO - Element at index 0, column Topic: Asthma
[2023-07-09T08:51:38.107+0000] {logging_mixin.py:149} INFO - Element at index 0, column Question: Hospitalizations for asthma
[2023-07-09T08:51:38.108+0000] {logging_mixin.py:149} INFO - Element at index 0, column Response: 
[2023-07-09T08:51:38.108+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueUnit: 
[2023-07-09T08:51:38.109+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueType: Number
[2023-07-09T08:51:38.109+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValue: 916.0
[2023-07-09T08:51:38.110+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueAlt: 916.0
[2023-07-09T08:51:38.110+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueFootnoteSymbol: 
[2023-07-09T08:51:38.111+0000] {logging_mixin.py:149} INFO - Element at index 0, column DatavalueFootnote: 
[2023-07-09T08:51:38.112+0000] {logging_mixin.py:149} INFO - Element at index 0, column LowConfidenceLimit: 
[2023-07-09T08:51:38.112+0000] {logging_mixin.py:149} INFO - Element at index 0, column HighConfidenceLimit: 
[2023-07-09T08:51:38.113+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategory1: Gender
[2023-07-09T08:51:38.113+0000] {logging_mixin.py:149} INFO - Element at index 0, column Stratification1: Male
[2023-07-09T08:51:38.114+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategory2: 
[2023-07-09T08:51:38.114+0000] {logging_mixin.py:149} INFO - Element at index 0, column Stratification2: 
[2023-07-09T08:51:38.115+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategory3: 
[2023-07-09T08:51:38.116+0000] {logging_mixin.py:149} INFO - Element at index 0, column Stratification3: 
[2023-07-09T08:51:38.116+0000] {logging_mixin.py:149} INFO - Element at index 0, column ResponseID: 
[2023-07-09T08:51:38.117+0000] {logging_mixin.py:149} INFO - Element at index 0, column LocationID: 5
[2023-07-09T08:51:38.117+0000] {logging_mixin.py:149} INFO - Element at index 0, column TopicID: AST
[2023-07-09T08:51:38.118+0000] {logging_mixin.py:149} INFO - Element at index 0, column QuestionID: AST3_1
[2023-07-09T08:51:38.119+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueTypeID: NMBR
[2023-07-09T08:51:38.119+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategoryID1: GENDER
[2023-07-09T08:51:38.120+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationID1: GENM
[2023-07-09T08:51:38.120+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategoryID2: 
[2023-07-09T08:51:38.121+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationID2: 
[2023-07-09T08:51:38.121+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategoryID3: 
[2023-07-09T08:51:38.122+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationID3: 
