[2023-07-09T08:51:29.862+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_dag.extract_data manual__2023-07-09T08:51:25.990801+00:00 [queued]>
[2023-07-09T08:51:29.876+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_dag.extract_data manual__2023-07-09T08:51:25.990801+00:00 [queued]>
[2023-07-09T08:51:29.877+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 1
[2023-07-09T08:51:29.900+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): extract_data> on 2023-07-09 08:51:25.990801+00:00
[2023-07-09T08:51:29.910+0000] {standard_task_runner.py:57} INFO - Started process 3143 to run task
[2023-07-09T08:51:29.913+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'etl_dag', 'extract_data', 'manual__2023-07-09T08:51:25.990801+00:00', '--job-id', '128', '--raw', '--subdir', 'DAGS_FOLDER/test.py', '--cfg-path', '/tmp/tmp_o60lx9k']
[2023-07-09T08:51:29.916+0000] {standard_task_runner.py:85} INFO - Job 128: Subtask extract_data
[2023-07-09T08:51:30.047+0000] {task_command.py:410} INFO - Running <TaskInstance: etl_dag.extract_data manual__2023-07-09T08:51:25.990801+00:00 [running]> on host 5865fe7b5e5b
[2023-07-09T08:51:30.515+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_dag' AIRFLOW_CTX_TASK_ID='extract_data' AIRFLOW_CTX_EXECUTION_DATE='2023-07-09T08:51:25.990801+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-07-09T08:51:25.990801+00:00'
[2023-07-09T08:51:30.640+0000] {base.py:73} INFO - Using connection ID 'testsql' for task execution.
[2023-07-09T08:51:30.703+0000] {logging_mixin.py:149} INFO - ================================
[2023-07-09T08:51:30.706+0000] {logging_mixin.py:149} INFO - 0     
1     
2     
3     
4     
5     
6     
7     
8     
9     
10    
11    
12    
13    
14    
15    
16    
17    
18    
Name: Response, dtype: object
[2023-07-09T08:51:30.707+0000] {logging_mixin.py:149} INFO - ================================
[2023-07-09T08:51:30.710+0000] {logging_mixin.py:149} INFO - Element at index 0, column YearStart: 2014
[2023-07-09T08:51:30.711+0000] {logging_mixin.py:149} INFO - Element at index 0, column YearEnd: 2014
[2023-07-09T08:51:30.712+0000] {logging_mixin.py:149} INFO - Element at index 0, column LocationAbbr: AR
[2023-07-09T08:51:30.713+0000] {logging_mixin.py:149} INFO - Element at index 0, column LocationDesc: Arkansas
[2023-07-09T08:51:30.720+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataSource: SEDD; SID
[2023-07-09T08:51:30.721+0000] {logging_mixin.py:149} INFO - Element at index 0, column Topic: Asthma
[2023-07-09T08:51:30.723+0000] {logging_mixin.py:149} INFO - Element at index 0, column Question: Hospitalizations for asthma
[2023-07-09T08:51:30.724+0000] {logging_mixin.py:149} INFO - Element at index 0, column Response: 
[2023-07-09T08:51:30.725+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueUnit: 
[2023-07-09T08:51:30.726+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueType: Number
[2023-07-09T08:51:30.727+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValue: 916.0
[2023-07-09T08:51:30.728+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueAlt: 916.0
[2023-07-09T08:51:30.731+0000] {logging_mixin.py:149} INFO - Element at index 0, column DataValueFootnoteSymbol: 
[2023-07-09T08:51:30.733+0000] {logging_mixin.py:149} INFO - Element at index 0, column DatavalueFootnote: 
[2023-07-09T08:51:30.733+0000] {logging_mixin.py:149} INFO - Element at index 0, column LowConfidenceLimit: 
[2023-07-09T08:51:30.734+0000] {logging_mixin.py:149} INFO - Element at index 0, column HighConfidenceLimit: 
[2023-07-09T08:51:30.738+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategory1: Gender
[2023-07-09T08:51:30.739+0000] {logging_mixin.py:149} INFO - Element at index 0, column Stratification1: M***
[2023-07-09T08:51:30.740+0000] {logging_mixin.py:149} INFO - Element at index 0, column StratificationCategory2: 
